Order ID,Order Date,Ship Date,Fulfilment,Customer Segment,Country,Region,State,City,Category,Sub-Category,Payment Mode,Order Status,Quantity,Discount,Sales (INR),Profit (INR),GST (INR)
IND-2020-0007866,2020-01-07,2020-01-13,Amazon,Individual,India,South,Telangana,Warangal,Clothing & Apparel,Men's Ethnic Wear,Debit Card,Delivered,5,0.0,5667.23,1242.47,283.36
IND-2020-0001192,2020-01-07,2020-01-10,Merchant,Student,India,South,Tamil Nadu,Chennai,Clothing & Apparel,Men's Ethnic Wear,UPI,Delivered,2,0.1,793.17,141.46,39.66
IND-2020-0002603,2020-01-07,2020-01-12,Amazon,Small Business,India,North,Uttar Pradesh,Noida,FMCG & Grocery,Health Supplements,UPI,Delivered,4,0.1,1699.49,210.37,84.97
IND-2020-0004154,2020-01-07,2020-01-12,Merchant,Individual,India,South,Telangana,Warangal,Home & Kitchen,Bedsheets & Pillows,Cash on Delivery,Delivered,4,0.4,11217.66,-166.19,1346.12
IND-2020-0001020,2020-01-07,2020-01-12,Meesho,Small Business,India,North,Punjab,Ludhiana,Clothing & Apparel,Kids Clothing,EMI,Delivered,3,0.05,3211.37,581.3,160.57
IND-2020-0004459,2020-01-08,2020-01-11,Amazon,Student,India,North,Uttar Pradesh,Lucknow,Electronics,Laptops,UPI,Returned,4,0.0,0.0,0.0,0.0
IND-2020-0004097,2020-01-08,2020-01-11,Merchant,Individual,India,South,Tamil Nadu,Salem,Home & Kitchen,Bedsheets & Pillows,UPI,Delivered,1,0.0,656.55,80.37,78.79
IND-2020-0008524,2020-01-08,2020-01-10,Amazon,Individual,India,East,Jharkhand,Deoghar,FMCG & Grocery,Personal Care,Debit Card,Delivered,1,0.0,606.81,112.8,30.34
IND-2020-0002209,2020-01-08,2020-01-09,Flipkart,Enterprise,India,Central,Chhattisgarh,Raipur,FMCG & Grocery,Packaged Foods,Cash on Delivery,Returned,2,0.15,0.0,0.0,0.0
IND-2020-0003972,2020-01-08,2020-01-09,Amazon,Small Business,India,South,Telangana,Hyderabad,Books & Stationery,Competitive Exam Books,Debit Card,Delivered,4,0.15,152.24,21.37,7.61
IND-2020-0009403,2020-01-08,2020-01-13,Amazon,Individual,India,South,Telangana,Hyderabad,Books & Stationery,Art & Craft Supplies,UPI,Delivered,3,0.0,706.31,155.33,35.32
IND-2020-0007917,2020-01-08,2020-01-11,Amazon,Individual,India,South,Telangana,Nizamabad,FMCG & Grocery,Beverages,UPI,Cancelled,5,0.3,0.0,0.0,0.0
IND-2020-0003620,2020-01-08,2020-01-10,Merchant,Individual,India,South,Karnataka,Mysuru,FMCG & Grocery,Personal Care,EMI,Delivered,5,0.0,215.42,35.66,10.77
IND-2020-0004711,2020-01-08,2020-01-11,Amazon,Small Business,India,North,Punjab,Jalandhar,Clothing & Apparel,Kids Clothing,Credit Card,Shipped,4,0.0,5840.59,1339.98,292.03
IND-2020-0001090,2020-01-09,2020-01-16,Amazon,Individual,India,West,Gujarat,Surat,Home & Kitchen,Home Decor,UPI,Delivered,4,0.0,15901.39,2047.6,1908.17
IND-2020-0005092,2020-01-09,2020-01-16,Flipkart,Student,India,North,Rajasthan,Udaipur,Clothing & Apparel,Kurta & Kurti,UPI,Delivered,5,0.0,5720.0,1152.66,286.0
IND-2020-0007344,2020-01-09,2020-01-12,Merchant,Student,India,Central,Madhya Pradesh,Indore,Clothing & Apparel,Men's Ethnic Wear,UPI,Cancelled,5,0.1,0.0,0.0,0.0
IND-2020-0007103,2020-01-09,2020-01-11,Amazon,Small Business,India,South,Tamil Nadu,Chennai,FMCG & Grocery,Packaged Foods,Cash on Delivery,Delivered,4,0.0,1232.32,203.67,61.62
IND-2020-0009139,2020-01-09,2020-01-11,Amazon,Small Business,India,East,Odisha,Rourkela,Electronics,Power Banks,UPI,Delivered,3,0.05,14898.42,681.01,2681.72
IND-2020-0009907,2020-01-09,2020-01-12,Amazon,Individual,India,Central,Chhattisgarh,Rajnandgaon,Electronics,Tablets,UPI,Delivered,5,0.3,63218.49,-3111.92,11379.33
IND-2020-0001837,2020-01-09,2020-01-16,Flipkart,Individual,India,North,Uttar Pradesh,Kanpur,Electronics,Power Banks,UPI,Shipped,2,0.4,18056.85,-1333.1,3250.23
IND-2020-0003458,2020-01-09,2020-01-13,Merchant,Small Business,India,North,Rajasthan,Jaipur,Clothing & Apparel,Innerwear & Socks,Debit Card,Shipped,1,0.15,522.24,92.47,26.11
IND-2020-0001533,2020-01-09,2020-01-15,Amazon,Small Business,India,West,Maharashtra,Mumbai,Home & Kitchen,Cleaning Supplies,Cash on Delivery,Shipped,5,0.0,21617.38,3079.49,2594.09
IND-2020-0004438,2020-01-09,2020-01-15,Merchant,Individual,India,Central,Madhya Pradesh,Ujjain,Clothing & Apparel,Sportswear,UPI,Shipped,4,0.0,5461.44,1218.72,273.07
IND-2020-0002965,2020-01-09,2020-01-10,Meesho,Student,India,North,Uttar Pradesh,Kanpur,Electronics,Earphones & Headphones,UPI,Returned,2,0.15,0.0,0.0,0.0
IND-2020-0004891,2020-01-10,2020-01-12,Amazon,Small Business,India,North,Uttar Pradesh,Kanpur,Books & Stationery,Children Books,UPI,Returned,5,0.3,0.0,0.0,0.0
IND-2020-0003655,2020-01-10,2020-01-13,Meesho,Individual,India,South,Tamil Nadu,Coimbatore,Clothing & Apparel,Kids Clothing,Cash on Delivery,Delivered,2,0.0,1183.09,278.17,59.15
IND-2020-0005154,2020-01-10,2020-01-11,Merchant,Student,India,West,Maharashtra,Pune,FMCG & Grocery,Personal Care,Debit Card,Delivered,4,0.1,454.59,72.05,22.73
IND-2020-0005209,2020-01-10,2020-01-13,Meesho,Small Business,India,North,Rajasthan,Jodhpur,FMCG & Grocery,Health Supplements,Cash on Delivery,Delivered,1,0.3,473.6,19.18,23.68
IND-2020-0003691,2020-01-10,2020-01-16,Amazon,Small Business,India,North,Delhi,Dwarka,Clothing & Apparel,Kurta & Kurti,UPI,Cancelled,1,0.3,0.0,0.0,0.0
IND-2020-0003449,2020-01-10,2020-01-14,Merchant,Individual,India,North,Rajasthan,Ajmer,Clothing & Apparel,Innerwear & Socks,UPI,Delivered,1,0.0,877.43,185.15,43.87
IND-2020-0006861,2020-01-10,2020-01-11,Meesho,Student,India,East,Odisha,Rourkela,FMCG & Grocery,Pet Supplies,UPI,Delivered,4,0.15,892.62,123.4,44.63
IND-2020-0001931,2020-01-10,2020-01-16,Merchant,Individual,India,West,Gujarat,Ahmedabad,Sports & Outdoors,Cycling Accessories,Net Banking,Delivered,3,0.3,77.88,1.97,3.89
IND-2020-0010285,2020-01-10,2020-01-15,Merchant,Individual,India,West,Maharashtra,Aurangabad,Books & Stationery,Competitive Exam Books,Credit Card,Delivered,3,0.15,1270.1,201.53,63.5
IND-2020-0007446,2020-01-10,2020-01-14,Merchant,Small Business,India,North,Delhi,Karol Bagh,Electronics,Cameras,Net Banking,Returned,1,0.1,0.0,0.0,0.0
IND-2020-0004600,2020-01-10,2020-01-15,Merchant,Individual,India,South,Kerala,Thrissur,Books & Stationery,Fiction & Literature,Cash on Delivery,Delivered,2,0.15,526.56,67.98,26.33
IND-2020-0010377,2020-01-10,2020-01-13,Merchant,Individual,India,North,Rajasthan,Udaipur,Books & Stationery,Children Books,UPI,Delivered,2,0.4,479.83,21.5,23.99
IND-2020-0002061,2020-01-10,2020-01-12,Amazon,Student,India,Central,Chhattisgarh,Rajnandgaon,Clothing & Apparel,Women's Sarees,Cash on Delivery,Cancelled,5,0.2,0.0,0.0,0.0
IND-2020-0005321,2020-01-10,2020-01-12,Merchant,Enterprise,India,Central,Madhya Pradesh,Jabalpur,FMCG & Grocery,Beverages,Credit Card,Cancelled,1,0.2,0.0,0.0,0.0
IND-2020-0002542,2020-01-10,2020-01-15,Amazon,Student,India,South,Telangana,Warangal,Clothing & Apparel,Innerwear & Socks,EMI,Shipped,4,0.0,2650.24,576.91,132.51
IND-2020-0003892,2020-01-13,2020-01-14,Amazon,Enterprise,India,West,Gujarat,Bhavnagar,Sports & Outdoors,Cycling Accessories,UPI,Delivered,1,0.4,785.38,-6.43,39.27
IND-2020-0007744,2020-01-13,2020-01-20,Amazon,Individual,India,South,Telangana,Nizamabad,Home & Kitchen,Cookware,Cash on Delivery,Cancelled,5,0.1,0.0,0.0,0.0
IND-2020-0008819,2020-01-13,2020-01-14,Amazon,Small Business,India,North,Uttar Pradesh,Lucknow,Home & Kitchen,Kitchen Appliances,UPI,Cancelled,1,0.05,0.0,0.0,0.0
IND-2020-0010472,2020-01-13,2020-01-20,Flipkart,Individual,India,North,Punjab,Chandigarh,Clothing & Apparel,Women's Western Wear,Net Banking,Delivered,1,0.0,267.5,56.16,13.38
IND-2020-0009565,2020-01-13,2020-01-15,Merchant,Small Business,India,South,Telangana,Warangal,Electronics,Earphones & Headphones,UPI,Delivered,1,0.3,132.38,-5.03,23.83
IND-2020-0010324,2020-01-13,2020-01-14,Amazon,Individual,India,Central,Chhattisgarh,Bilaspur,Electronics,Smart Watches,UPI,Delivered,2,0.05,2401.88,172.87,432.34
IND-2020-0004527,2020-01-13,2020-01-18,Flipkart,Individual,India,West,Maharashtra,Nashik,Electronics,Smart Watches,Credit Card,Delivered,3,0.3,6644.55,-234.56,1196.02
IND-2020-0002352,2020-01-13,2020-01-14,Amazon,Individual,India,South,Kerala,Thiruvananthapuram,Electronics,Power Banks,Cash on Delivery,Shipped,2,0.05,40447.53,3228.17,7280.56
IND-2020-0008473,2020-01-13,2020-01-15,Amazon,Small Business,India,South,Tamil Nadu,Chennai,Sports & Outdoors,Cricket Equipment,Credit Card,Delivered,4,0.0,2258.38,364.1,112.92
IND-2020-0002434,2020-01-13,2020-01-16,Amazon,Small Business,India,West,Goa,Margao,Electronics,Smart Watches,Credit Card,Delivered,2,0.15,33703.53,240.82,6066.64
IND-2020-0004914,2020-01-14,2020-01-16,Meesho,Small Business,India,West,Gujarat,Rajkot,Electronics,Earphones & Headphones,UPI,Delivered,5,0.1,114226.3,6618.51,20560.73
IND-2020-0010227,2020-01-14,2020-01-20,Amazon,Individual,India,Central,Madhya Pradesh,Jabalpur,Electronics,Smart TVs,Debit Card,Delivered,4,0.1,91774.24,4029.94,16519.36
IND-2020-0007143,2020-01-14,2020-01-20,Amazon,Student,India,North,Delhi,Rohini,FMCG & Grocery,Personal Care,UPI,Delivered,1,0.2,407.58,33.04,20.38
IND-2020-0010602,2020-01-14,2020-01-19,Flipkart,Individual,India,North,Delhi,Dwarka,Home & Kitchen,Bedsheets & Pillows,Debit Card,Delivered,1,0.15,1599.96,105.95,192.0
IND-2020-0002588,2020-01-14,2020-01-19,Merchant,Individual,India,North,Delhi,Dwarka,Clothing & Apparel,Kids Clothing,EMI,Delivered,4,0.0,1642.55,372.55,82.13
IND-2020-0010087,2020-01-14,2020-01-16,Merchant,Enterprise,India,West,Maharashtra,Pune,Clothing & Apparel,Innerwear & Socks,UPI,Delivered,3,0.1,197.02,37.67,9.85
IND-2020-0005408,2020-01-14,2020-01-19,Merchant,Individual,India,North,Punjab,Ludhiana,Clothing & Apparel,Innerwear & Socks,Credit Card,Delivered,2,0.0,751.81,179.17,37.59
IND-2020-0005799,2020-01-14,2020-01-18,Amazon,Individual,India,South,Kerala,Thrissur,Electronics,Power Banks,Cash on Delivery,Shipped,2,0.1,19413.02,943.32,3494.34
IND-2020-0003163,2020-01-14,2020-01-19,Amazon,Small Business,India,East,Odisha,Rourkela,Clothing & Apparel,Men's T-Shirts,Net Banking,Delivered,3,0.05,1338.92,281.86,66.95
IND-2020-0010895,2020-01-14,2020-01-16,Meesho,Small Business,India,South,Tamil Nadu,Tiruchirappalli,FMCG & Grocery,Health Supplements,UPI,Shipped,4,0.0,732.75,134.42,36.64
IND-2020-0002970,2020-01-15,2020-01-21,Amazon,Individual,India,West,Gujarat,Surat,Electronics,Smartphones,UPI,Delivered,3,0.05,46654.02,1981.86,8397.72
IND-2020-0007411,2020-01-15,2020-01-20,Amazon,Individual,India,South,Telangana,Khammam,Electronics,Earphones & Headphones,Net Banking,Cancelled,2,0.05,0.0,0.0,0.0
IND-2020-0007234,2020-01-15,2020-01-16,Amazon,Small Business,India,West,Gujarat,Surat,Electronics,Smart Watches,Cash on Delivery,Delivered,4,0.15,127906.47,1631.81,23023.16
IND-2020-0006489,2020-01-15,2020-01-17,Flipkart,Individual,India,North,Uttar Pradesh,Noida,Electronics,Tablets,UPI,Delivered,4,0.1,6935.03,319.2,1248.31
IND-2020-0008585,2020-01-15,2020-01-18,Amazon,Individual,India,South,Telangana,Karimnagar,Home & Kitchen,Bedsheets & Pillows,Cash on Delivery,Delivered,1,0.1,1806.39,201.69,216.77
IND-2020-0001054,2020-01-15,2020-01-17,Merchant,Small Business,India,Central,Chhattisgarh,Bhilai,Sports & Outdoors,Yoga & Fitness,Debit Card,Delivered,5,0.15,13719.97,1413.86,686.0
IND-2020-0002578,2020-01-15,2020-01-20,Amazon,Student,India,Central,Madhya Pradesh,Ujjain,Clothing & Apparel,Kids Clothing,Debit Card,Delivered,1,0.15,1284.73,205.98,64.24
IND-2020-0009120,2020-01-15,2020-01-18,Amazon,Individual,India,North,Uttar Pradesh,Varanasi,Home & Kitchen,Furniture,Credit Card,Delivered,1,0.3,4230.4,74.47,507.65
IND-2020-0006547,2020-01-16,2020-01-19,Flipkart,Individual,India,North,Rajasthan,Jaipur,Clothing & Apparel,Sportswear,Credit Card,Delivered,5,0.4,2445.98,132.95,122.3
IND-2020-0008459,2020-01-16,2020-01-20,Amazon,Enterprise,India,West,Maharashtra,Aurangabad,Clothing & Apparel,Innerwear & Socks,UPI,Delivered,4,0.0,1697.41,370.87,84.87
IND-2020-0004407,2020-01-16,2020-01-18,Flipkart,Small Business,India,South,Karnataka,Belagavi,Clothing & Apparel,Women's Sarees,UPI,Delivered,1,0.2,948.16,131.86,47.41
IND-2020-0008007,2020-01-16,2020-01-20,Meesho,Student,India,West,Gujarat,Bhavnagar,Books & Stationery,Art & Craft Supplies,UPI,Delivered,3,0.0,127.95,26.32,6.4
IND-2020-0007579,2020-01-16,2020-01-22,Merchant,Small Business,India,North,Punjab,Amritsar,Home & Kitchen,Cleaning Supplies,Cash on Delivery,Delivered,4,0.15,2922.88,260.72,350.75
IND-2020-0007052,2020-01-16,2020-01-22,Amazon,Student,India,South,Karnataka,Bengaluru,Home & Kitchen,Cleaning Supplies,UPI,Delivered,2,0.3,56.61,0.38,6.79
IND-2020-0003871,2020-01-16,2020-01-17,Merchant,Enterprise,India,South,Karnataka,Belagavi,Books & Stationery,Fiction & Literature,UPI,Cancelled,5,0.1,0.0,0.0,0.0
IND-2020-0007316,2020-01-16,2020-01-17,Amazon,Student,India,East,West Bengal,Howrah,FMCG & Grocery,Beverages,Debit Card,Delivered,4,0.3,2064.69,89.96,103.23
IND-2020-0006168,2020-01-16,2020-01-19,Merchant,Individual,India,South,Tamil Nadu,Coimbatore,Home & Kitchen,Furniture,Cash on Delivery,Shipped,1,0.0,1080.32,130.91,129.64
IND-2020-0001735,2020-01-16,2020-01-23,Flipkart,Small Business,India,North,Uttar Pradesh,Varanasi,Home & Kitchen,Storage & Organisation,UPI,Delivered,4,0.0,12580.04,1992.46,1509.6
IND-2020-0005216,2020-01-16,2020-01-17,Merchant,Small Business,India,North,Delhi,Karol Bagh,Clothing & Apparel,Kurta & Kurti,Cash on Delivery,Delivered,1,0.1,676.15,133.09,33.81
IND-2020-0006672,2020-01-16,2020-01-21,Amazon,Student,India,West,Goa,Margao,Books & Stationery,Children Books,Cash on Delivery,Delivered,2,0.0,483.83,88.37,24.19
IND-2020-0003516,2020-01-17,2020-01-23,Amazon,Small Business,India,East,West Bengal,Howrah,Home & Kitchen,Home Decor,UPI,Cancelled,2,0.0,0.0,0.0,0.0
IND-2020-0010439,2020-01-17,2020-01-22,Amazon,Small Business,India,North,Punjab,Jalandhar,Clothing & Apparel,Kurta & Kurti,Debit Card,Returned,4,0.15,0.0,0.0,0.0
IND-2020-0004934,2020-01-17,2020-01-21,Merchant,Individual,India,South,Tamil Nadu,Salem,Clothing & Apparel,Innerwear & Socks,UPI,Shipped,2,0.0,1297.16,297.6,64.86
IND-2020-0010914,2020-01-17,2020-01-20,Merchant,Enterprise,India,South,Kerala,Thrissur,Electronics,Power Banks,UPI,Delivered,5,0.0,5817.84,518.35,1047.21
IND-2020-0006484,2020-01-17,2020-01-21,Flipkart,Individual,India,West,Maharashtra,Nagpur,Clothing & Apparel,Innerwear & Socks,UPI,Delivered,1,0.05,1406.61,307.7,70.33
IND-2020-0009440,2020-01-17,2020-01-19,Meesho,Small Business,India,West,Gujarat,Surat,Clothing & Apparel,Kurta & Kurti,Credit Card,Delivered,3,0.15,2739.07,492.11,136.95
IND-2020-0007789,2020-01-17,2020-01-23,Flipkart,Small Business,India,North,Rajasthan,Jaipur,Home & Kitchen,Cleaning Supplies,UPI,Delivered,4,0.15,7702.34,712.86,924.28
IND-2020-0003622,2020-01-17,2020-01-18,Amazon,Small Business,India,East,Odisha,Sambalpur,Books & Stationery,Competitive Exam Books,Debit Card,Delivered,2,0.0,91.1,17.16,4.56
IND-2020-0001242,2020-01-17,2020-01-23,Meesho,Individual,India,East,Odisha,Berhampur,Electronics,Smart TVs,UPI,Delivered,2,0.0,20693.14,1970.79,3724.77
IND-2020-0004716,2020-01-17,2020-01-23,Amazon,Individual,India,North,Punjab,Patiala,Clothing & Apparel,Women's Sarees,Net Banking,Delivered,2,0.1,1437.02,257.41,71.85
IND-2020-0004255,2020-01-17,2020-01-23,Amazon,Individual,India,East,Jharkhand,Deoghar,Electronics,Power Banks,UPI,Delivered,2,0.3,58.08,-2.52,10.45
IND-2020-0001646,2020-01-17,2020-01-23,Amazon,Individual,India,North,Delhi,Dwarka,FMCG & Grocery,Pet Supplies,UPI,Delivered,4,0.0,931.14,177.19,46.56
IND-2020-0004109,2020-01-17,2020-01-18,Flipkart,Individual,India,North,Punjab,Patiala,Home & Kitchen,Storage & Organisation,UPI,Delivered,1,0.0,1212.23,149.96,145.47
IND-2020-0006139,2020-01-17,2020-01-18,Amazon,Individual,India,North,Punjab,Amritsar,Electronics,Smart Watches,EMI,Delivered,2,0.0,63524.91,5904.55,11434.48
IND-2020-0001339,2020-01-17,2020-01-18,Amazon,Individual,India,South,Kerala,Thiruvananthapuram,Clothing & Apparel,Sportswear,Debit Card,Delivered,1,0.0,1115.63,236.42,55.78
IND-2020-0005073,2020-01-20,2020-01-27,Merchant,Individual,India,Central,Chhattisgarh,Bhilai,Books & Stationery,Competitive Exam Books,Cash on Delivery,Delivered,4,0.0,680.93,144.96,34.05
IND-2020-0001704,2020-01-20,2020-01-27,Amazon,Individual,India,North,Punjab,Amritsar,Clothing & Apparel,Kurta & Kurti,EMI,Delivered,1,0.05,1723.57,325.89,86.18
IND-2020-0001586,2020-01-20,2020-01-26,Amazon,Individual,India,East,West Bengal,Siliguri,Clothing & Apparel,Men's T-Shirts,Credit Card,Delivered,3,0.2,1260.87,180.14,63.04
IND-2020-0004851,2020-01-20,2020-01-23,Meesho,Individual,India,East,Jharkhand,Ranchi,Electronics,Tablets,UPI,Delivered,1,0.15,19471.59,22.49,3504.89
IND-2020-0006465,2020-01-20,2020-01-25,Merchant,Individual,India,South,Kerala,Kozhikode,Home & Kitchen,Furniture,Cash on Delivery,Delivered,3,0.05,11001.3,1336.87,1320.16
IND-2020-0010470,2020-01-20,2020-01-27,Amazon,Enterprise,India,Central,Madhya Pradesh,Gwalior,Home & Kitchen,Storage & Organisation,UPI,Delivered,1,0.15,5216.25,492.88,625.95
IND-2020-0003960,2020-01-20,2020-01-27,Meesho,Student,India,North,Delhi,New Delhi,Home & Kitchen,Storage & Organisation,EMI,Delivered,4,0.15,17301.36,1375.75,2076.16
IND-2020-0003003,2020-01-20,2020-01-27,Flipkart,Small Business,India,North,Rajasthan,Jaipur,Home & Kitchen,Home Decor,UPI,Delivered,2,0.05,71.65,8.06,8.6
IND-2020-0008315,2020-01-20,2020-01-23,Merchant,Individual,India,East,Bihar,Muzaffarpur,Electronics,Laptops,Net Banking,Delivered,3,0.0,59610.85,5427.16,10729.95
IND-2020-0006544,2020-01-21,2020-01-25,Merchant,Individual,India,Central,Madhya Pradesh,Indore,Home & Kitchen,Furniture,Credit Card,Delivered,1,0.1,3480.14,334.5,417.62
IND-2020-0010930,2020-01-21,2020-01-23,Merchant,Small Business,India,West,Maharashtra,Pune,FMCG & Grocery,Pet Supplies,Credit Card,Delivered,3,0.15,229.26,24.04,11.46
IND-2020-0005189,2020-01-21,2020-01-22,Merchant,Enterprise,India,Central,Madhya Pradesh,Ujjain,Clothing & Apparel,Women's Sarees,UPI,Delivered,1,0.0,87.73,21.0,4.39
IND-2020-0009417,2020-01-21,2020-01-25,Amazon,Enterprise,India,South,Karnataka,Bengaluru,Home & Kitchen,Cleaning Supplies,UPI,Delivered,1,0.0,43.58,6.07,5.23
